央视,#genre#
CCTV1,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHvc74xjQ7yfhFBpn3LFI1L42BLTMkYtj2sRUuS%2B4B6UQw%3D%3D$央视
CCTV2,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHtwU32CXr7uxmGtPTdOEZ846jxHsHPi1oVWLyYkl5CX8A%3D%3D$央视
CCTV3,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHv5tKRJVgEzCe1yJ6vCUGFtNMqQKlIKsTjafXVrX5gSwQ%3D%3D$央视
CCTV4,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHtFjDXS83BPjdPCL69OtZz3uz1AggbTbym9ECTCMlRM%2Bg%3D%3D$央视
CCTV5,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHu1dzH5gcV5N6GmyltuUckmXU3AgpRGLkR0AQKRD4LzZg%3D%3D$央视
CCTV5+,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHvbZIGz0hMoUt4EOoRiU3YQYMmDrqv9X3olWQ85HCWKEA%3D%3D$央视
CCTV6,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHtzmplktgl1akalQh8owHfOpv0urEpvECNv4FyOHGQumA%3D%3D$央视
CCTV7,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHspO%2BkLaSfQc3cTwz%2F6rIPjkeoM3Rvfmz3XBEdj14ly%2Bw%3D%3D$央视
CCTV8,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHt9lDohoBA475hY3FfLs6pO5jhwXoFH705c3R0iSkww9A%3D%3D$央视
CCTV9,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHt3dW8khsJPpO%2BojWiPPi9acu9smJg069uYycm092v5CA%3D%3D$央视
CCTV10,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHud1NDV0%2Bi7Gaqk6s2fe8tu1X4Hj3kJK%2FZ4xPtSisFLGw%3D%3D$央视
CCTV11,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHtUBVvA8cqJdQTLcl4Rz9Bqotn3MxtY3Z8qcsJ%2BuPwg8g%3D%3D$央视
CCTV12,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHt1ovLcHbwFyjanzQRyWPTk3vrSgauy5GC%2BMb5%2F07PvBg%3D%3D$央视
CCTV13,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHucVEVe%2BZbN8oKoonVxbM6DZBB89yRoLJvnI3zHHUjYeQ%3D%3D$央视
CCTV14,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHtlM6%2FMKt9wMNCmJ6pMALnsnDF6851YTTabYebhaqjVuQ%3D%3D$央视
CCTV15,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHtoshrWCWx6lYh3tkUtxYFtDtir5ba7mwEtPpEagH6j7A%3D%3D$央视
CCTV16,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHuWA8aHMt87fMviYTqzkAAvE0BvrjRK5Yce1xUT5tKzcg%3D%3D$央视
CCTV17,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHuVnPo80QAlW80IpNs5HdcXDBN4TjwtkWLyN0tna2xVNg%3D%3D$央视

4K超高清,#genre#
CCTV16,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHtDhtZyol6L%2FPYzelESLdJ6IyWviepkX5Pxyq3wJBdPDg%3D%3D$4K超高清
北京卫视,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHvCXLoDEtWKx3mAeYWQS96rniaYyiKTPKB0wJYw5tmnfg%3D%3D$4K超高清
广东卫视,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHsJzK%2BNuN36eL3co3vXzIgbHcvq2IX4XFPOLqsbJAHuww%3D%3D$4K超高清
深圳卫视,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHtUwZ32J%2BOSGzm2bIhIADixm00QiHdFtPptKkJhQiECHg%3D%3D$4K超高清
浙江卫视,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHuJi980AEToxzhT6DoWrMItVBgdwQyn8VRRrwQzfWDz7w%3D%3D$4K超高清
东方卫视,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHurjW28j92RU7FPktp3NUVgv6PekLhDaF9UwW2mmXqTww%3D%3D$4K超高清
湖南卫视,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHtR8FZWTL4hyroOBgAUVNnELDKtwSKrNrdh1d3KYKCXBA%3D%3D$4K超高清
江苏卫视,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHu%2Fmvh2wteJY%2Brzd27M3vY7icVC%2FhWooc8yOjRKUmyDlA%3D%3D$4K超高清
四川卫视,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHvP0t6finmGGbC5TumzHFZxU6XBk3yYw4%2BUVHSrbgIxEQ%3D%3D$4K超高清
山东卫视,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHvITV6JDI7%2BFXMSamTxlh0xbmsKxVdgdNvbD2cKoySfhg%3D%3D$4K超高清
欢笑剧场,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHuMrNL9s8EA6WQyakR8Dwf60H3A7aKh7iq1FsQVADlCKQ%3D%3D$4K超高清
BESTV1,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHtdHOs1ddIVvnaLBYZatwvKlKRfwGniPc2ybBycUQIr3A%3D%3D$4K超高清
BESTV2,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHtx6SKlmMc2xW3mtH6T8uxUe5HTncJzeqaQUGSpiswm1Q%3D%3D$4K超高清
BESTV3,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHsdrPxQor2Tf1%2B27ktqKFuBRsOIFN5fefAunHiN6e2%2FLg%3D%3D$4K超高清

卫视,#genre#
浙江卫视,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHvXlhynmCB11xVQIHXYMx%2BSlwffDMPAaROCzl65qjHkxg%3D%3D$卫视
深圳卫视,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHtwRHX%2BiaHQZS9Dgzv6FjChCYZHQfBQPqT27KHidxqqKw%3D%3D$卫视
广东卫视,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHukZPKGHGK03W%2BQm6LnuOkxxwaU4yXjSe92778NFHKGwA%3D%3D$卫视
湖南卫视,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHsY15O%2FzSfO0kdy3HrB2GIZ4Z%2Bz%2FXCKfduWsEw49gH2%2Fg%3D%3D$卫视
天津卫视,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHtmaLVa%2B09HEkFlX6A0w9HGx5%2FT1Hxb3es1dtmGzZ5e4g%3D%3D$卫视
山东卫视,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHs4UppQhZsOdEjynm2RY%2Fmss0ltn%2FeamsHrWb%2BYekXp7w%3D%3D$卫视
江苏卫视,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHvs0xMryhR3NvHZkYcOheYWJ5WGj6II7lSvneaWj9Yf7w%3D%3D$卫视
北京卫视,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHvg%2Bn8443DON74DYVelaEq33rY2XGyzUwAI5fhJNfwi2g%3D%3D$卫视
北京纪实科教,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHvuhj8NGunMdeJ2qZI%2F0l61CynhIlACWO3jonSuxmjcbg%3D%3D$卫视
四川卫视,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHtzjNHuC0F6Rrp8xePHRHV3Ojm5CcDjToSeswsbQ9oXEA%3D%3D$卫视
河北卫视,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHtdSonzRQ5jiN6OZx5gj%2FCooNQ%2Bohcfv0Brc0YIHamibg%3D%3D$卫视
辽宁卫视,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHt85b76RDHJK69oU0gaxefrEMdiGhMfLAPnAYaFj0zy7A%3D%3D$卫视
贵州卫视,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHsi%2BN3m5%2FNtb4Tfl64j8ueXVIdROBKPz%2B23FSipKfIMsw%3D%3D$卫视
重庆卫视,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHtIeRU%2FzJ46OtViKqe3MguI91gIzWTLgVP72VzKikX2yw%3D%3D$卫视
河南卫视,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHtXdo8QApQ2CDxdjWHBHMrFn1pW2FmpKWwFDelkuKyShg%3D%3D$卫视
江西卫视,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHt35RbfDYDSAFXBjTGTKs4OgYIY0FSCGQJJHdxNn2jX3A%3D%3D$卫视
东南卫视,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHtf1uy54S0AfWcPmvWn64Q50Jvbpe6Td0S6uZdv90ELxA%3D%3D$卫视
安徽卫视,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHuw5y%2FXu%2F9nJwITyNwSOkwTQdMm0OXfxg%2BAZcC%2FQyCMhQ%3D%3D$卫视
湖北卫视,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHuOA6VmDodHeWqyPbeN2uKCRmRVMD%2BIv8%2B0bITl3ARbZQ%3D%3D$卫视
黑龙江卫视,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHviDZ7VWP%2FHQqiaRUmP2UQ%2FfqmLi4j0hr8uUMsnlkTa8A%3D%3D$卫视
东方卫视,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHvS5%2B%2BValIoFNkf5xdp9k9gEZoJSq9lNeMp2l1ESv76WA%3D%3D$卫视
甘肃卫视,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHtF2M%2Bwzu4C8WGQrDxkiS06kFTZg6wt6YErVKp5id0NsA%3D%3D$卫视
海南卫视,https://what.612526.xyz:5679/proxy.php?url=CcErZI8XDYeVoQ9ZqEYmSD0Ex8qwRVoa8ZgccY3vIHu4Kt85gixPrOqZ%2B5op08nL98F8%2F7121E%2B5SRNplRyXCg%3D%3D$卫视
